granter_ministry,grant_date,grant_month,grant_year,amount,grantee_clean,grantee,grantee_detail,grantee_jcn,description,grant_name,grant_type,npo_type,admin_division,filename
CAO,2011-05-30,2011 May,2011,130750000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金の交付決定（４月分　第１回～第３回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-07-06,2011 Jul,2011,52000000000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（東日本大震災分第１回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-07-29,2011 Jul,2011,300000000000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（東日本大震災分第２回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-09-26,2011 Sep,2011,16237500,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（第４回～第１１回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-10-21,2011 Oct,2011,43437500,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（９月分　第１２～１５回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-11-15,2011 Nov,2011,46000000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（１０月分　第１６～第１９回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-12-19,2011 Dec,2011,235875000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（１１月分　第２０～第２４回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2012-01-24,2012 Jan,2012,336387500,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,諸謝金：平成２３年度被災者生活再建支援金補助金（１２月分　第２５～第２９回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2012-03-07,2012 Mar,2012,188375000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（１月分第３０～第３５回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2012-03-26,2012 Mar,2012,149312500,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（２月分第３６回～第４０回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2012-03-30,2012 Mar,2012,78000000,都道府県会館,財団法人都道府県会館,"財団法人都道府県会館
東京都千代田区平河町２－６－３",NA,平成２３年度被災者生活再建支援金補助金（３月分第４１回～第４４回）,被災者生活再建支援金補助金,Subsidy,特財,国所管,h23_youshiki1
CAO,2011-08-01,2011 Aug,2011,14000000,実験動物中央研究所,公益財団法人実験動物中央研究所,"財団法人実験動物中央研究所バイオメディカル研究部
神奈川県川崎市宮前区野川１４３０",NA,"食品健康影響評価技術研究
「肝臓キメラマウスを用いたヒト型代謝プロファイルの外挿によるリスク評価手法の開発」",食品健康影響評価技術研究委託費,Subsidy,特財,国所管,h23_youshiki1
MIAC,2011-07-26,2011 Jul,2011,63000000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2011-07-28,2011 Jul,2011,15750000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2011-08-02,2011 Aug,2011,377895000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2011-08-24,2011 Aug,2011,146002000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2011-10-31,2011 Oct,2011,366975000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2011-11-16,2011 Nov,2011,41580000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2011-12-13,2011 Dec,2011,57750000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2012-02-23,2012 Feb,2012,-217000000,移動通信基盤整備協会,社団法人移動通信基盤整備協会,(社)移動通信基盤整備協会,NA,電波遮へい対策事業（トンネル）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MIAC,2012-01-04,2012 Jan,2012,568040000,デジタル放送推進協会,社団法人デジタル放送推進協会,社団法人デジタル放送推進協会,NA,東日本大震災復旧・復興に係る無線システム普及支援事業（地上デジタル放送への円滑な移行のための環境整備・支援）,無線システム普及支援事業費等補助金,Subsidy,特社,国所管,h23_youshiki1
MOJ,2011-06-07,2011 Jun,2011,21330000,人権教育啓発推進センタ-,公益財団法人人権教育啓発推進センター,財団法人人権教育啓発推進センター,NA,人権関係情報提供活動等の充実強化,人権啓発活動等補助金,Subsidy,公財,国所管,h23_youshiki1
MOJ,2011-07-11,2011 Jul,2011,10700000,人権教育啓発推進センタ-,公益財団法人人権教育啓発推進センター,財団法人人権教育啓発推進センター,NA,人権関係情報提供活動等の充実強化,人権啓発活動等補助金,Subsidy,公財,国所管,h23_youshiki1
MOJ,2011-10-19,2011 Oct,2011,10845000,人権教育啓発推進センタ-,公益財団法人人権教育啓発推進センター,財団法人人権教育啓発推進センター,NA,人権関係情報提供活動等の充実強化,人権啓発活動等補助金,Subsidy,公財,国所管,h23_youshiki1
