granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,govt_reemployees,filename
Consumer Affairs Agency,NA,2007-11-01,2007 Nov,2007,3420900,3420900,行政情報システム,NA,"一般社団法人行政情報システム
研究所
東京都千代田区日比谷公園1-3",NA,"独立行政法人国民生活センター
理事長　　野々山　宏
神奈川県相模原市中央区弥栄3-1-1",霞が関ＷＡＮサービス,Goods and Services,特社,国所管,1,Negotiated,0,h24_youshiki3-4
Consumer Affairs Agency,NA,2007-11-01,2007 Nov,2007,6413400,6413400,行政情報システム研究所,社団法人行政情報システム研究所,"社団法人行政情報システム研究所
東京都千代田区日比谷公園1-3",NA,"独立行政法人国民生活センター
理事長　　野々山　宏
神奈川県相模原市中央区弥栄3-1-1",霞が関ＷＡＮサービス,Goods and Services,特社,国所管,1,Negotiated,0,h23_youshiki3-4
MEXT,NA,2009-04-01,2009 Apr,2009,2923074,0,中国電気保安協会,一般財団法人中国電気保安協会,"特例財団法人中国電気保安協会
広島県広島市中区小町4-33",NA,"弓削商船高等専門学校
契約担当役
事務部長　森原良治
愛媛県越智郡上島町弓削した弓削１０００番地",自家用電気工作物保全委託業務（一般競争）,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MLIT,NA,2010-12-02,2010 Dec,2010,2625000,6783000,日本システム開発研究所,財団法人日本システム開発研究所,"(財)日本システム開発研究所
東京都新宿区富久町１６番５号",NA,"契約職独立行政法人建築研究所
理事長　村上周三
茨城県つくば市立原１","旅費精算システム購入
１式",Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki3-3
METI,NA,2010-12-03,2010 Dec,2010,13219800,同種の他の契約の予定価格を類推させる恐れがあるため公表しない,経済産業調査会,NA,"財団法人
経済産業調査会
東京都中央区銀座2-8-9",NA,"独立行政法人経済産業研究所
理事長
中島厚志
東京都千代田区霞が関1-3-1",通商産業政策史編集校正業務請負及び出版契約,Goods and Services,特財,国所管,3,Competitive,NA,h24_youshiki3-3
METI,NA,2010-12-16,2010 Dec,2010,14985180,18142320,霞山会,財団法人霞山会,"財団法人霞山会
東京都千代田区霞が関3-2-4",NA,"独立行政法人日本貿易振興機構
副理事長　　中富　道隆
東京都港区赤坂1-12-32",中国語研修業務,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki3-3
METI,NA,2011-01-06,2011 Jan,2011,8400000,8400000,自動車技術会,公益社団法人自動車技術会,"社団法人自動車技術会
東京都千代田区五番町10-2",NA,"独立行政法人日本貿易振興機構
副理事長　　中富　道隆
東京都港区赤坂1-12-32",「マレーシア自動車産業展」実施に係る「人とくるまのテクノロジー展2011」出展,Goods and Services,特社,国所管,0,Negotiated,3,h23_youshiki3-4
Consumer Affairs Agency,NA,2011-02-15,2011 Feb,2011,20859588,同種の他の契約の予定価格を類推させるおそれがあるため公表しない。,全国消費生活相談員協会,公益社団法人全国消費生活相談員協会,"公益社団法人全国消費生活相談員協会
東京都港区高輪3-13-22",NA,"独立行政法人国民生活センター
理事長　　野々山　宏
神奈川県相模原市中央区弥栄3-1-1",平成23年度消費者問題出前講座の実施業務,Goods and Services,公社,国所管,1,Competitive,NA,h23_youshiki3-3
MEXT,NA,2011-03-22,2011 Mar,2011,5896800,0,日本システム開発研究所,財団法人日本システム開発研究所,"特例財団法人日本システム開発研究所
東京都新宿区富久町１６番５号 新宿高砂ビル７Ｆ",NA,"国立高等専門学校機構本部
契約担当役
事務局長　後藤宏平
 東京都八王子市東浅川町701-2",旅費システム用ハウジングサービス（一般競争）,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MAFF,NA,2011-03-25,2011 Mar,2011,1518090,0,中部電気保安協会,一般財団法人中部電気保安協会,"財団法人中部電気保安協会伊勢事業所
三重県伊勢市河崎１－５－４９",NA,"独立行政法人水産総合研究センター
増養殖研究所長　飯田　貴次
三重県度会郡南伊勢町中津浜浦４２２－１",養殖研自家用電気工作物保安管理業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
CAO,NA,2011-04-01,2011 Apr,2011,18048000,0,ラヂオプレス,一般財団法人ラヂオプレス,"財団法人ラヂオプレス　
東京都新宿区若松町３３－８",NA,"支出負担行為担当官
内閣衛星情報センター管理部長　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　石塚泰久
東京都新宿区市谷本村町９－１３",ラジオプレス・ニュース資料の取得,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,6090000,0,リモ-ト・センシング技術センタ-,一般財団法人リモート・センシング技術センター,"財団法人リモート・センシング技術センター
東京都港区六本木1丁目9-9六本木ファーストビル12階",NA,"支出負担行為担当官
内閣衛星情報センター管理部長
石塚　泰久
東京都新宿区市谷本村町９-１３",平成２３年度海外衛星開発動向に係るモニタリング調査等,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,1428410,―,不動産適正取引推進機構,財団法人不動産適正取引推進機構,"財団法人不動産適正取引推進機構
東京都港区虎ノ門３－８－２１",NA,"支出負担行為担当官
沖縄総合事務局総務部長
田中愛智朗
沖縄県那覇市おもろまち2-1-1",宅地建物取引業免許事務処理システム電算処理等業務,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,10206000,0,共同通信社,一般社団法人共同通信社,"社団法人共同通信社　
東京都港区東新橋１－７－１",NA,"支出負担行為担当官
内閣衛星情報センター管理部長　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　石塚泰久
東京都新宿区市谷本村町９－１３",新聞社情報の取得,Goods and Services,特社,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,11529000,11529000,共同通信社,一般社団法人共同通信社,"（社)共同通信社
東京都港区東新橋１－７－１",NA,"支出負担行為担当官　
内閣府大臣官房会計担当参事官　二村　二三男
東京都千代田区永田町１－６－１",共同通信スクリーンニュースの受信,Goods and Services,特社,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,14725200,14725200,原子力安全技術センタ-,公益財団法人原子力安全技術センター,"財団法人原子力安全技術センター
東京都文京区白山５－１－３－１０１",NA,"分任支出負担行為担当官
内閣府食品安全委員会事務局長
栗本　まさ子","食品安全確保総合調査
「放射性物質の食品健康影響評価に関する情報収集調査」",Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,2520000,2520000,国際金融情報センタ-,公益財団法人国際金融情報センター,"財団法人　国際金融情報センター
東京都中央区日本橋小網町９－９",NA,"支出負担行為担当官
会計担当内閣参事官
日下　正周
東京都千代田区永田町１－６－１",ＪＣＩＦオンラインサービスによる情報の利用,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,2520000,2520000,国際金融情報センタ-,公益財団法人国際金融情報センター,"財団法人国際金融情報センター
東京都中央区日本橋小網町９－９",NA,"支出負担行為担当官　
内閣府大臣官房会計担当参事官　二村　二三男
東京都千代田区永田町１－６－１",ＪＣＩＦオンラインサービスによる情報の利用,Goods and Services,特社,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,846720,846720,建築コスト管理システム研究所,一般財団法人建築コスト管理システム研究所,"財団法人建築コスト管理システム研究所
東京都港区西新橋３－２５－３３",NA,"
支出負担行為担当官
沖縄総合事務局開発建設部長
中野　則夫
沖縄県那覇市おもろまち２－１－１",営繕積算システムＲＩＢＣ賃貸借,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,2835000,2835000,建設業技術者センタ-,財団法人建設業技術者センター,"財団法人建設業技術者センタ－
東京都千代田区二番町３　麹町スクエア",NA,"
支出負担行為担当官
沖縄総合事務局開発建設部長
中野　則夫
沖縄県那覇市おもろまち２－１－１",平成２３年度企業情報提供業務,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,94500000,94572360,建設電気技術協会,一般社団法人建設電気技術協会,"（社）建設電気技術協会
東京都港区赤坂１－３－６",NA,"支出負担行為担当官　
内閣府大臣官房会計担当参事官　二村　二三男
東京都千代田区永田町１－６－１",平成２３年度中央防災無線網災害現地通信運用支援等業務,Goods and Services,特社,国所管,1,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,170100000,0,新情報センタ-,社団法人新情報センター　,"社団法人新情報センター
東京都渋谷区恵比寿１－１９－１５",NA,支出負担行為担当官　内閣府経済社会総合研究所次長堀田　　繁　東京都千代田区霞が関３－１－１,消費者動向の実査業務,Goods and Services,特財,国所管,4,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,13755000,0,新情報センタ-,社団法人新情報センター　,"（社）新情報センター
東京都渋谷区恵比寿１－１３－６",NA,"支出負担行為担当官　
内閣府大臣官房会計担当参事官　二村　二三男
東京都千代田区永田町１－６－１",平成２３年度「青少年のインターネット利用環境実態調査」,Goods and Services,特社,国所管,3,Negotiated,2,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,3413927,0,日本がん知識普及協会,財団法人日本がん知識普及協会,"財団法人日本がん知識普及協会
東京都千代田区有楽町１－７－１",NA,支出負担行為担当官　会計担当内閣参事官日下　正周　東京都千代田区永田町１－６－１,一般定期健康診断費,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,5276250,0,日本がん知識普及協会,財団法人日本がん知識普及協会,"（財）日本がん知識普及協会
東京都千代田区有楽町１－７－１",NA,支出負担行為担当官　内閣府大臣官房会計担当参事官二村　二三男　東京都千代田区永田町１－６－１,一般定期健康診断費,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,2310000,0,日本原子力産業協会,一般社団法人日本原子力産業協会,"社団法人日本原子力産業協会
東京都港区新橋２－１－３",NA,"支出負担行為担当官
内閣府原子力安全委員会事務局長
岩橋理彦

支出負担行為担当官
内閣府政策統括官（科学技術政策・イノベーション担当）
泉　紳一郎
東京都千代田区３－１－１",原子力専門情報誌「ニュークレオニクス・ウィーク（日本語版）」の電子メールによる情報提供サービス利用,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,36540000,0,日本広報協会,公益社団法人日本広報協会,"(社）日本広報協会
東京都新宿区新宿１－１５－９",NA,支出負担行為担当官　内閣府大臣官房会計担当参事官二村　二三男　東京都千代田区永田町１－６－１,平成２３年度政府広報ウェブサイト運営等業務,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
