granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,contract_reason,govt_reemployees,filename
CAO,NA,2011-04-01,2011 Apr,2011,34650000,37128000,公共用地補償機構,一般財団法人公共用地補償機構,"財団法人公共用地補償機構 沖縄事務所
沖縄県那覇市銘苅３ー９ー２２",NA,"分任支出負担行為担当官 沖縄総合事務局北部国道事務所長 上原　勇賢
沖縄県名護市大北４丁目２８番３４号",平成２３年度北部国道事務所用地補償総合技術業務,Public Works,特財,国所管,2,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,36750000,39721500,公共用地補償機構,一般財団法人公共用地補償機構,"財団法人公共用地補償機構
沖縄県那覇市銘苅３ー９ー２２",NA,"分任支出負担行為担当官代理 沖縄総合事務局南部国道事務所副所長 平良　盛隆
那覇市港町２-８-１４",平成２３年度南部国道事務所用地補償総合技術（その１）業務,Public Works,特財,国所管,2,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,35700000,36561000,公共用地補償機構,一般財団法人公共用地補償機構,"財団法人公共用地補償機構
沖縄県那覇市銘苅３ー９ー２２",NA,"分任支出負担行為担当官代理
 沖縄総合事務局南部国道事務所副所長 平良　盛隆
那覇市港町２-８-１４",平成２３年度南部国道事務所用地補償総合技術（その２）業務,Public Works,特財,国所管,2,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,27300000,29473500,公共用地補償機構,一般財団法人公共用地補償機構,"財団法人公共用地補償機構
沖縄県那覇市銘苅３ー９ー２２",NA,"分任支出負担行為担当官
代理
 沖縄総合事務局南部国道事務所副所長　平良　盛隆
那覇市港町２-８-１４",平成２３年度南部国道事務所用地補償総合技術（その３）業務,Public Works,特財,国所管,2,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,7980000,8167601,日本潜水協会,社団法人日本潜水協会,"社団法人日本潜水協会 
東京都港区新橋６ー３ー５",NA,"支出負担行為担当官 沖縄総合事務局開発建設部長 中野　則夫
沖縄県那覇市おもろまち２丁目１番１号",水中部施工状況確認業務,Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,18690000,21222600,沿岸技術研究センター,一般財団法人沿岸技術研究センター,"財団法人沿岸技術研究センター 
東京都千代田区隼町３ー１６",NA,"支出負担行為担当官 沖縄総合事務局開発建設部長 中野　則夫
沖縄県那覇市おもろまち２丁目１番１号",港湾整備に係る沿岸気象海象情報の予測情報等提供業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,113400000,119885773,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"支出負担行為担当官 沖縄総合事務局開発建設部長 中野　則夫
沖縄県那覇市おもろまち２丁目１番１号",港湾品質監視等補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,44100000,44674210,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"支出負担行為担当官 沖縄総合事務局開発建設部長 中野　則夫
沖縄県那覇市おもろまち２丁目１番１号",港湾空港技術審査補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,74550000,75567450,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"分任支出負担行為担当官 沖縄総合事務局那覇港湾・空港整備事務所長 酒井　洋一
沖縄県那覇市港町２丁目６の１１",那覇港発注補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,34650000,35895300,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"分任支出負担行為担当官 沖縄総合事務局那覇港湾・空港整備事務所長 酒井　洋一
沖縄県那覇市港町２丁目６の１１",中城湾港発注補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
