grantee_clean,grantee_jcn,granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,competitive_bid,num_bidders,govt_reemployees,grant_name,grantee,grantee_detail,grant_type,description,contract_reason,npo_type,admin_division,filename
2025年日本国際博覧会協会,9120005020700,METI,NA,2019-07-29,2019 Jul,2019,231419000,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和元年度大阪・関西国際博覧会開催準備事業費補助金,NA,-99,国認定,r1_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2020-04-01,2020 Apr,2020,55000000,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和２年度大阪・関西国際博覧会開催準備事業費補助金,NA,-99,国認定,r2_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2020-05-21,2020 May,2020,44564666,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和２年度大阪・関西国際博覧会開催準備事業費補助金（国庫債務負担行為に係るもの）,NA,-99,国認定,r2_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2020-05-21,2020 May,2020,44564666,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和２年度大阪・関西国際博覧会開催準備事業費補助金（国庫債務負担行為に係るもの）,NA,-99,国認定,r3_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2020-05-21,2020 May,2020,330718628,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和２年度大阪・関西国際博覧会開催準備事業費補助金（国庫債務負担行為に係るもの）,NA,-99,国認定,r4_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2021-04-01,2021 Apr,2021,295441666,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和３年度大阪・関西国際博覧会開催準備事業費補助金,NA,-99,国認定,r3_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2021-04-01,2021 Apr,2021,409394332,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和３年度大阪・関西国際博覧会開催準備事業費補助金（国庫債務負担行為に係るもの）,NA,-99,国認定,r3_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2021-04-01,2021 Apr,2021,179853298,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和３年度大阪・関西国際博覧会開催準備事業費補助金,NA,-99,国認定,r4_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2021-04-01,2021 Apr,2021,425292997,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和３年度大阪・関西国際博覧会開催準備事業費補助金（国庫債務負担行為に係るもの）,NA,-99,国認定,r4_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2022-04-01,2022 Apr,2022,10048814409,NA,-99,NA,NA,国際博覧会事業費補助金,公益社団法人２０２５年日本国際博覧会協会,公益社団法人２０２５年日本国際博覧会協会,Subsidy,令和４年度大阪・関西国際博覧会開催準備事業費補助金,NA,-99,国認定,r5_youshiki1
2025年日本国際博覧会協会,9120005020700,METI,NA,2023-05-11,2023 May,2023,332553906,0,Negotiated,NA,0,経済産業本省 千代田区霞が関１－３－１ 支出負担行為担当官　経済産業省大臣官房会計課長 坂本　里和,NA,公益社団法人2025年日本国際博覧会協会　大阪府大阪市住之江区南港北１－１４－１６　大阪府咲洲庁舎４３階,Goods and Services,令和４年度大阪・関西万博政府開催準備事業（途上国出展支援事業）,NA,-99,NA,r5_youshiki2-4
